itm_mstr_key,sys_cd,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,isc_active,isc_inactive,isc_01,isc_03,isc_04,isc_05,isc_06,isc_07,isc_08,isc_09,isc_XX
116,OASIS,11500,M1024_PMT_DIAG_ICD_A3,PMT_PRMRY_DGNS_CD,"Case mix diagnosis: primary, column 3",02,Asmt,Asmt,,ICD,11500,659,665,659-665,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
117,OASIS,11600,M1024_PMT_DIAG_ICD_B3,PMT_OTHR_DGNS_1_CD,"Case mix diagnosis: first secondary, column 3",02,Asmt,Asmt,,ICD,11600,666,672,666-672,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
118,OASIS,11700,M1024_PMT_DIAG_ICD_C3,PMT_OTHR_DGNS_2_CD,"Case mix diagnosis: second secondary, column 3",02,Asmt,Asmt,,ICD,11700,673,679,673-679,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
119,OASIS,11800,M1024_PMT_DIAG_ICD_D3,PMT_OTHR_DGNS_3_CD,"Case mix diagnosis: third secondary, column 3",02,Asmt,Asmt,,ICD,11800,680,686,680-686,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
120,OASIS,11900,M1024_PMT_DIAG_ICD_E3,PMT_OTHR_DGNS_4_CD,"Case mix diagnosis: fourth secondary, column 3",02,Asmt,Asmt,,ICD,11900,687,693,687-693,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
121,OASIS,12000,M1024_PMT_DIAG_ICD_F3,PMT_OTHR_DGNS_5_CD,"Case mix diagnosis: fifth secondary, column 3",02,Asmt,Asmt,,ICD,12000,694,700,694-700,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
122,OASIS,12100,M1024_PMT_DIAG_ICD_A4,PMT_PRMRY_DGNS_MULTPL_CD,"Case mix diagnosis: primary, column 4",02,Asmt,Asmt,,ICD,12100,701,707,701-707,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
123,OASIS,12200,M1024_PMT_DIAG_ICD_B4,PMT_OTHR_DGNS1_MULTPL_CD,"Case mix diagnosis: first secondary, column 4",02,Asmt,Asmt,,ICD,12200,708,714,708-714,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
124,OASIS,12300,M1024_PMT_DIAG_ICD_C4,PMT_OTHR_DGNS2_MULTPL_CD,"Case mix diagnosis: second secondary, column 4",02,Asmt,Asmt,,ICD,12300,715,721,715-721,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
125,OASIS,12400,M1024_PMT_DIAG_ICD_D4,PMT_OTHR_DGNS3_MULTPL_CD,"Case mix diagnosis: third secondary, column 4",02,Asmt,Asmt,,ICD,12400,722,728,722-728,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
126,OASIS,12500,M1024_PMT_DIAG_ICD_E4,PMT_OTHR_DGNS4_MULTPL_CD,"Case mix diagnosis: fourth secondary, column 4",02,Asmt,Asmt,,ICD,12500,729,735,729-735,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
127,OASIS,12600,M1024_PMT_DIAG_ICD_F4,PMT_OTHR_DGNS5_MULTPL_CD,"Case mix diagnosis: fifth secondary, column 4",02,Asmt,Asmt,,ICD,12600,736,742,736-742,7,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
128,OASIS,12700,M1030_THH_IV_INFUSION,HOME_IV_THRPY_CD,"Therapies received at home: intravenous, infusion",02,Asmt,Asmt,,Code,12700,743,743,743-743,1,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
129,OASIS,12800,M1030_THH_PAR_NUTRITION,HOME_PRNTRL_CD,Therapies received at home: parenteral nutrition,02,Asmt,Asmt,,Code,12800,744,744,744-744,1,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
130,OASIS,12900,M1030_THH_ENT_NUTRITION,HOME_ENTRL_CD,Therapies received at home: enteral nutrition,02,Asmt,Asmt,,Code,12900,745,745,745-745,1,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
131,OASIS,13000,M1030_THH_NONE_ABOVE,HOME_NOA_CD,Therapies received at home: none of the above,02,Asmt,Asmt,,Code,13000,746,746,746-746,1,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
132,OASIS,13100,M1032_HOSP_RISK_RCNT_DCLN,HOSP_RISK_DCLN_CD,Hosp risk: decline mental/emotional/behav status,02,Asmt,Asmt,,Code,13100,747,747,747-747,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
133,OASIS,13200,M1032_HOSP_RISK_MLTPL_HOSPZTN,HOSP_RISK_MULTHOSPZTN_CD,Hosp risk: 2+ hospitalizations in past 12 months,02,Asmt,Asmt,,Code,13200,748,748,748-748,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
134,OASIS,13300,M1032_HOSP_RISK_HSTRY_FALLS,HOSP_RISK_FALLS_CD,Hosp risk: 2+ falls or injury fall in past year,02,Asmt,Asmt,,Code,13300,749,749,749-749,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
135,OASIS,13400,M1032_HOSP_RISK_5PLUS_MDCTN,HOSP_RISK_MULT_MDCTN_CD,Hosp risk: taking five or more medications,02,Asmt,Asmt,,Code,13400,750,750,750-750,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
136,OASIS,13500,M1032_HOSP_RISK_FRAILTY,HOSP_RISK_FRAILTY_CD,Hosp risk: frailty indicators,02,Asmt,Asmt,,Code,13500,751,751,751-751,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
137,OASIS,13600,M1032_HOSP_RISK_OTHR,HOSP_RISK_OTHR_CD,Hosp risk: other,02,Asmt,Asmt,,Code,13600,752,752,752-752,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
138,OASIS,13700,M1032_HOSP_RISK_NONE_ABOVE,HOSP_RISK_NOA_CD,Hosp risk: none of the above,02,Asmt,Asmt,,Code,13700,753,753,753-753,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
139,OASIS,13800,M1034_PTNT_OVRAL_STUS,OVRAL_STUS_CD,Patient's overall status,02,Asmt,Asmt,,Code,13800,754,755,754-755,2,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
140,OASIS,13900,M1036_RSK_SMOKING,RISK_SMKNG_CD,High risk factor: smoking,02,Asmt,Asmt,,Code,13900,756,756,756-756,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
141,OASIS,14000,M1036_RSK_OBESITY,RISK_OBSTY_CD,High risk factor: obesity,02,Asmt,Asmt,,Code,14000,757,757,757-757,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
142,OASIS,14100,M1036_RSK_ALCOHOLISM,RISK_ALCHL_CD,High risk factor: alcoholism,02,Asmt,Asmt,,Code,14100,758,758,758-758,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
143,OASIS,14200,M1036_RSK_DRUGS,RISK_DRUG_CD,High risk factor: drugs,02,Asmt,Asmt,,Code,14200,759,759,759-759,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
144,OASIS,14300,M1036_RSK_NONE,RISK_NOA_CD,High risk factor: none of the above,02,Asmt,Asmt,,Code,14300,760,760,760-760,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
145,OASIS,14400,M1036_RSK_UNKNOWN,RISK_UNK_CD,High risk factor: unknown,02,Asmt,Asmt,,Code,14400,761,761,761-761,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
146,OASIS,14500,M1040_INFLNZ_RCVD_AGNCY,INFLNZ_RCVD_CD,Was influenza vaccine received,02,Asmt,Asmt,,Code,14500,762,763,762-763,2,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
147,OASIS,14600,M1045_INFLNZ_RSN_NOT_RCVD,RSN_INFLNZ_NOT_RCV_CD,"If influenza vaccine not received, state reason",02,Asmt,Asmt,,Code,14600,764,765,764-765,2,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
148,OASIS,14700,M1050_PPV_RCVD_AGNCY,PPV_RCVD_CD,Was pneumococcal vaccine received,02,Asmt,Asmt,,Code,14700,766,766,766-766,1,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
149,OASIS,14800,M1055_PPV_RSN_NOT_RCVD_AGNCY,RSN_PPV_NOT_RCVD_CD,"If pneumococcal vacc not received, state reason",02,Asmt,Asmt,,Code,14800,767,768,767-768,2,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
150,OASIS,14900,M1100_PTNT_LVG_STUTN,PTNT_LVG_ARNGMT_CD,Patient living situation,02,Asmt,Asmt,,Code,14900,769,770,769-770,2,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
151,OASIS,15000,M1200_VISION,VSN_CD,Sensory status: vision,02,Asmt,Asmt,,Code,15000,771,772,771-772,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
152,OASIS,15100,M1210_HEARG_ABLTY,HEARG_CD,Ability to hear,02,Asmt,Asmt,,Code,15100,773,774,773-774,2,"[V2.10.1]-Fixed typo in label for item value [01] (""may"" was misspelled).","01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
153,OASIS,15200,M1220_UNDRSTG_VERBAL_CNTNT,UNDRSTND_VRBL_CD,Understanding verbal content in patient's language,02,Asmt,Asmt,,Code,15200,775,776,775-776,2,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
154,OASIS,15300,M1230_SPEECH,VRBL_EXPRSN_CD,Sensory status: speech,02,Asmt,Asmt,,Code,15300,777,778,777-778,2,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
155,OASIS,15400,M1240_FRML_PAIN_ASMT,PAIN_ASMT_CD,Has patient had a formal pain assessment,02,Asmt,Asmt,,Code,15400,779,780,779-780,2,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
156,OASIS,15500,M1242_PAIN_FREQ_ACTVTY_MVMT,PAIN_FREQ_CD,Freq of pain interfering with pt activity/movement,02,Asmt,Asmt,,Code,15500,781,782,781-782,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
157,OASIS,15600,M1300_PRSR_ULCR_RISK_ASMT,PRSR_ULCR_ASMT_CD,Was patient assessed for risk of developing PUs,02,Asmt,Asmt,,Code,15600,783,784,783-784,2,"[V2.10.1]-Fixed typo in item label (changed ""pus"" to ""PUs"").","01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
158,OASIS,15700,M1302_RISK_OF_PRSR_ULCR,PRSR_ULCR_RISK_CD,Does this patient have a risk of developing PUs,02,Asmt,Asmt,,Code,15700,785,785,785-785,1,"[V2.10.1]-Fixed typo in item label (changed ""pus"" to ""PUs"").  Changed labels for item values [0] and [1].","01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
159,OASIS,15800,M1306_UNHLD_STG2_PRSR_ULCR,PRSR_ULCR_UNHLD_STG_2_CD,Patient has 1+ unhealed PU at stage 2 or higher,02,Asmt,Asmt,,Code,15800,786,786,786-786,1,[V2.10.1]-Changed labels for item values [0] and [1].,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
160,OASIS,16010,M1307_OLDST_STG2_ONST_DT,PRSR_ULCR_OLDST_DVLP_DT,Date of onset of oldest stage 2 pressure ulcer,02,Asmt,Asmt,,Date,16010,789,796,789-796,8,,09,"01,03,04,05,06,07,08,XX",,,,,,,,x,
161,OASIS,16000,M1307_OLDST_STG2_AT_DSCHRG,PRSR_ULCR_OLDST_SOC_CD,Status of oldest stage 2 pressure ulcer at disch,02,Asmt,Asmt,,Code,16000,787,788,787-788,2,,09,"01,03,04,05,06,07,08,XX",,,,,,,,x,
162,OASIS,16100,M1308_NBR_PRSULC_STG2,STG_2_ULCR_NUM,Number of stage 2 pressure ulcers,02,Asmt,Asmt,,Number,16100,797,798,797-798,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
163,OASIS,16200,M1308_NBR_STG2_AT_SOC_ROC,STG_2_ULCR_ADMSN_NUM,Number of stage 2 pressure ulcers at SOC/ROC,02,Asmt,Asmt,,Number,16200,799,800,799-800,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.,"04,05,09","01,03,06,07,08,XX",,,x,x,,,,x,
164,OASIS,16300,M1308_NBR_PRSULC_STG3,STG_3_ULCR_NUM,Number of stage 3 pressure ulcers,02,Asmt,Asmt,,Number,16300,801,802,801-802,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
165,OASIS,16400,M1308_NBR_STG3_AT_SOC_ROC,STG_3_ULCR_ADMSN_NUM,Number of stage 3 pressure ulcers at SOC/ROC,02,Asmt,Asmt,,Number,16400,803,804,803-804,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.,"04,05,09","01,03,06,07,08,XX",,,x,x,,,,x,
166,OASIS,16500,M1308_NBR_PRSULC_STG4,STG_4_ULCR_NUM,Number of stage 4 pressure ulcers,02,Asmt,Asmt,,Number,16500,805,806,805-806,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
167,OASIS,16600,M1308_NBR_STG4_AT_SOC_ROC,STG_4_ULCR_ADMSN_NUM,Number of stage 4 pressure ulcers at SOC/ROC,02,Asmt,Asmt,,Number,16600,807,808,807-808,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.,"04,05,09","01,03,06,07,08,XX",,,x,x,,,,x,
168,OASIS,16700,M1308_NSTG_DRSG,UNSTGBL_ULCR_DRSNG_NUM,Unstageable: non-removable dressing/device,02,Asmt,Asmt,,Number,16700,809,810,809-810,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
169,OASIS,16800,M1308_NSTG_DRSG_SOC_ROC,U_ULCR_DRSNG_ADMSN_NUM,Unstageable: non-removable dressing/device-SOC/ROC,02,Asmt,Asmt,,Number,16800,811,812,811-812,2,,"04,05,09","01,03,06,07,08,XX",,,x,x,,,,x,
170,OASIS,16900,M1308_NSTG_CVRG,UNSTGBL_ULCR_ESC_NUM,Unstageable: coverage by slough or eschar,02,Asmt,Asmt,,Number,16900,813,814,813-814,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
171,OASIS,17000,M1308_NSTG_CVRG_SOC_ROC,U_ULCR_ESC_ADMSN_NUM,Unstageable: coverage by slough or eschar-SOC/ROC,02,Asmt,Asmt,,Number,17000,815,816,815-816,2,,"04,05,09","01,03,06,07,08,XX",,,x,x,,,,x,
172,OASIS,17100,M1308_NSTG_DEEP_TISUE,UNSTGBL_ULCR_DEEP_NUM,Unstageable: suspect deep tissue injury,02,Asmt,Asmt,,Number,17100,817,818,817-818,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
173,OASIS,17200,M1308_NSTG_DEEP_TISUE_SOC_ROC,U_ULCR_DEEP_ADMSN_NUM,Unstageable: suspect deep tissue injury-SOC/ROC,02,Asmt,Asmt,,Number,17200,819,820,819-820,2,,"04,05,09","01,03,06,07,08,XX",,,x,x,,,,x,
174,OASIS,17300,M1310_PRSR_ULCR_LNGTH,STG_3_4_ULCR_LNGTH_NUM,Length (cm) of stage 3 or 4 PU with largest area,02,Asmt,Asmt,,Number,17300,821,824,821-824,4,"[V2.10.1]-Changed item label: added ""(cm)"".","01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
175,OASIS,17400,M1312_PRSR_ULCR_WDTH,STG_3_4_ULCR_WDTH_NUM,Width (cm) of stage 3 or 4 PU with largest area,02,Asmt,Asmt,,Number,17400,825,828,825-828,4,"[V2.10.1]-Changed item label: added ""(cm)"".","01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
176,OASIS,17500,M1314_PRSR_ULCR_DEPTH,STG_3_4_ULCR_DPTH_NUM,Depth (cm) of stage 3 or 4 PU with largest area,02,Asmt,Asmt,,Number,17500,829,832,829-832,4,"[V2.10.1]-Changed item label: added ""(cm)"".","01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
177,OASIS,17600,M1320_STUS_PRBLM_PRSR_ULCR,PRBLM_PRCR_ULCR_STUS_CD,Status of most problematic pressure ulcer,02,Asmt,Asmt,,Code,17600,833,834,833-834,2,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
178,OASIS,17700,M1322_NBR_PRSULC_STG1,STG_1_ULCR_NUM,Number of stage 1 pressure ulcers,02,Asmt,Asmt,,Code,17700,835,836,835-836,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
179,OASIS,17800,M1324_STG_PRBLM_ULCER,PRMBL_PRSR_ULCR_STG_CD,Stage of most problematic pressure ulcer,02,Asmt,Asmt,,Code,17800,837,838,837-838,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
180,OASIS,17900,M1330_STAS_ULCR_PRSNT,STATIS_ULCR_CD,Does this patient have a stasis ulcer,02,Asmt,Asmt,,Code,17900,839,840,839-840,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
181,OASIS,18000,M1332_NBR_STAS_ULCR,STATIS_ULCR_NUM,Number of stasis ulcers,02,Asmt,Asmt,,Code,18000,841,842,841-842,2,[V2.10.1]-Changed item label for consistency with other ulcer count items.  Changed item ID from M1332_NUM_STAS_ULCR to M1332_NBR_STAS_ULCR.,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
182,OASIS,18100,M1334_STUS_PRBLM_STAS_ULCR,STATIS_ULCR_STUS_CD,Status of most problematic stasis ulcer,02,Asmt,Asmt,,Code,18100,843,844,843-844,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
183,OASIS,18200,M1340_SRGCL_WND_PRSNT,SRGCL_WND_CD,Does this patient have a surgical wound,02,Asmt,Asmt,,Code,18200,845,846,845-846,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
184,OASIS,18300,M1342_STUS_PRBLM_SRGCL_WND,SRGCL_WND_STUS_CD,Status of most problematic surgical wound,02,Asmt,Asmt,,Code,18300,847,848,847-848,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
185,OASIS,18400,M1350_LESION_OPEN_WND,OPEN_LSN_CD,Has skin lesion or open wound,02,Asmt,Asmt,,Code,18400,849,849,849-849,1,[V2.10.1]-Changed labels for item values [0] and [1].,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
186,OASIS,18500,M1400_WHEN_DYSPNEIC,SOB_CD,When dyspneic,02,Asmt,Asmt,,Code,18500,850,851,850-851,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
187,OASIS,18600,M1410_RESPTX_OXYGEN,OXGN_CD,Respiratory treatments: oxygen,02,Asmt,Asmt,,Code,18600,852,852,852-852,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
188,OASIS,18700,M1410_RESPTX_VENTILATOR,VNTLTR_CD,Respiratory treatments: ventilator,02,Asmt,Asmt,,Code,18700,853,853,853-853,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
189,OASIS,18800,M1410_RESPTX_AIRPRESS,CPAP_CD,Respiratory treatments: airway pressure,02,Asmt,Asmt,,Code,18800,854,854,854-854,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
190,OASIS,18900,M1410_RESPTX_NONE,RSPRTRY_TRTMT_NOA_CD,Respiratory treatments: none of the above,02,Asmt,Asmt,,Code,18900,855,855,855-855,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
191,OASIS,19000,M1500_SYMTM_HRT_FAILR_PTNTS,HRT_FAILR_CD,Symptoms in heart failure patients,02,Asmt,Asmt,,Code,19000,856,857,856-857,2,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
192,OASIS,19100,M1510_HRT_FAILR_NO_ACTN,HF_NO_ACTN_CD,Heart failure follow up:  no action,02,Asmt,Asmt,,Code,19100,858,858,858-858,1,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
193,OASIS,19200,M1510_HRT_FAILR_PHYSN_CNTCT,HF_PHYSN_CNTCT_CD,Heart failure follow up:  physician contacted,02,Asmt,Asmt,,Code,19200,859,859,859-859,1,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
194,OASIS,19300,M1510_HRT_FAILR_ER_TRTMT,HF_ER_TRTMT_CD,Heart failure follow up:  ER treatment advised,02,Asmt,Asmt,,Code,19300,860,860,860-860,1,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
195,OASIS,19400,M1510_HRT_FAILR_PHYSN_TRTMT,HF_PHYSN_TRTMT_CD,Heart failure follow up:  phys-ordered treatmnt,02,Asmt,Asmt,,Code,19400,861,861,861-861,1,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
196,OASIS,19500,M1510_HRT_FAILR_CLNCL_INTRVTN,HF_CLNCL_INTRVTN_CD,Heart failure follow up: pt educ/other clinical,02,Asmt,Asmt,,Code,19500,862,862,862-862,1,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
197,OASIS,19600,M1510_HRT_FAILR_CARE_PLAN_CHG,HF_CARE_PLAN_CHG_CD,Heart failure follow up: change in care plan,02,Asmt,Asmt,,Code,19600,863,863,863-863,1,,"06,07,09","01,03,04,05,08,XX",,,,,x,x,,x,
198,OASIS,19700,M1600_UTI,UTI_CD,Treated for urinary tract infection past 14 days,02,Asmt,Asmt,,Code,19700,864,865,864-865,2,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
199,OASIS,19800,M1610_UR_INCONT,URNRY_CNTNC_CD,Urinary incontinence or urinary catheter present,02,Asmt,Asmt,,Code,19800,866,867,866-867,2,"[V2.10.1]-Fixed typo in label for item value [02] (changed ""intermitten"" to ""intermitten"").","01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
200,OASIS,19900,M1615_INCNTNT_TIMING,URNRY_CNTNC_FREQ_CD,When urinary incontinence occurs,02,Asmt,Asmt,,Code,19900,868,869,868-869,2,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
201,OASIS,20000,M1620_BWL_INCONT,BWL_CNTNC_FREQ_CD,Bowel incontinence frequency,02,Asmt,Asmt,,Code,20000,870,871,870-871,2,,"01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
202,OASIS,20100,M1630_OSTOMY,OSTMY_CD,Ostomy for bowel elimination,02,Asmt,Asmt,,Code,20100,872,873,872-873,2,,"01,03,04,05","06,07,08,09,XX",x,x,x,x,,,,,
203,OASIS,20200,M1700_COG_FUNCTION,CGNTV_FNCTN_CD,Cognitive functioning,02,Asmt,Asmt,,Code,20200,874,875,874-875,2,"[V2.10.1]-Fixed typo in label for item value [04] (changed ""orientation"" to ""disorientation"").","01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
204,OASIS,20300,M1710_WHEN_CONFUSED,CNFSD_FREQ_CD,When confused (reported or observed),02,Asmt,Asmt,,Code,20300,876,877,876-877,2,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
205,OASIS,20400,M1720_WHEN_ANXIOUS,ANXIOUS_FREQ_CD,When anxious (reported or observed),02,Asmt,Asmt,,Code,20400,878,879,878-879,2,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
206,OASIS,20500,M1730_STDZ_DPRSN_SCRNG,DPRSN_SCRNG_CD,Has the patient been screened for depression,02,Asmt,Asmt,,Code,20500,880,881,880-881,2,"[V2.10.1]-Fixed typo in label for item value [01] (removed stray character after ""PHQ-2"").","01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
207,OASIS,20600,M1730_PHQ2_LACK_INTRST,PHQ2_INTRST_CD,PHQ2: little interest or pleasure in doing things,02,Asmt,Asmt,,Code,20600,882,883,882-883,2,"[V2.10.1]-Fixed typo in label for item value [00] (added space between ""0-1"" and ""day"").","01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
208,OASIS,20700,M1730_PHQ2_DPRSN,PHQ2_DPRSD_CD,"PHQ2: feeling down, depressed or hopeless",02,Asmt,Asmt,,Code,20700,884,885,884-885,2,"[V2.10.1]-Fixed typo in label for item value [00] (added space between ""0-1"" and ""day"").","01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
209,OASIS,20800,M1740_BD_MEM_DEFICIT,MEMRY_DFCT_CD,Behavior demonstrated: memory deficit,02,Asmt,Asmt,,Code,20800,886,886,886-886,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
210,OASIS,20900,M1740_BD_IMP_DECISN,IMPRD_DCSN_CD,Behavior demonstrated: impaired decision-making,02,Asmt,Asmt,,Code,20900,887,887,887-887,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
211,OASIS,21000,M1740_BD_VERBAL,VRBL_DSRPTN_CD,Behavior demonstrated: verbal disruption,02,Asmt,Asmt,,Code,21000,888,888,888-888,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
212,OASIS,21100,M1740_BD_PHYSICAL,PHYS_AGRSN_CD,Behavior demonstrated: physical aggression,02,Asmt,Asmt,,Code,21100,889,889,889-889,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
213,OASIS,21200,M1740_BD_SOC_INAPPRO,DSRPTV_CD,Behavior demonstrated: socially inappropriate,02,Asmt,Asmt,,Code,21200,890,890,890-890,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
214,OASIS,21300,M1740_BD_DELUSIONS,DLSNL_CD,Behavior demonstrated: delusions,02,Asmt,Asmt,,Code,21300,891,891,891-891,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
215,OASIS,21400,M1740_BD_NONE,CGNTV_NOA_CD,Behavior demonstrated: none of the above,02,Asmt,Asmt,,Code,21400,892,892,892-892,1,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
216,OASIS,21500,M1745_BEH_PROB_FREQ,DSRPTV_BHVR_FREQ_CD,Frequency of behavior problems,02,Asmt,Asmt,,Code,21500,893,894,893-894,2,,"01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
217,OASIS,21600,M1750_REC_PSYCH_NURS,PHYCH_NRSG_SRVC_CD,Receives psychiatric nursing,02,Asmt,Asmt,,Code,21600,895,895,895-895,1,,"01,03","04,05,06,07,08,09,XX",x,x,,,,,,,
218,OASIS,21700,M1800_CRNT_GROOMING,GRMG_CD,Current: grooming,02,Asmt,Asmt,,Code,21700,896,897,896-897,2,"[V2.10.1]-Changed item ID from ""_CUR_"" to ""_CRNT_"".","01,03,09","04,05,06,07,08,XX",x,x,,,,,,x,
219,OASIS,21800,M1810_CRNT_DRESS_UPPER,DRESS_UPR_CD,Current: dress upper body,02,Asmt,Asmt,,Code,21800,898,899,898-899,2,"[V2.10.1]-Changed item ID from ""_CUR_"" to ""_CRNT_"".","01,03,04,05,09","06,07,08,XX",x,x,x,x,,,,x,
