Description,Narrative
Lumbago Goals,"SN to assess pain every visit. Sn to assess all body systems. VS parameters to report to MD, BP > 160/90 or <90/60, HR >100 or <60, Resp > 24 or <12, Temp > 100.5 or <96. Sn to assess joints for stiffness, tenderness, mobility, pain, and ROM. Sn to assess cardiovascular and respiratory status for heart sounds, dyspnea, edema, lung sounds and peripheral circulation and instruct on areas of knowledge deficits. Sn to instruct on disease process of Lumbago to include pathophysiology, s/sx, treatment and exacerbation. Instruct on pharmacological and non-pharmacological pain management, good positioning and body alignment. Sn to assess knowledge of medication regimen and deficit, teach pt/cg pain medications to include purpose, action , S/E and safety measures and instruct on new or changed medications. SN to report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Myocardial Infarction,"SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina. SN to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96.  SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to teach disease process of MI, to include pathophysiology, S/Sx, treatment and exacerbation. SN to assess knowledge of medication regimen and deficits and teach pt/cg CARDIAC medications, to Include safety measures, purpose, action and S/E. Sn to teach new or changed medications if any. SN to teach  2gm Na Diet, Low Fat Diet, and Low Cholesterol Diet. SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures. Instruct pt/cg to weigh pt and report weight gain or loss of 5lbs in 7 days."
Myocardial Infarction Goals ,"Pt will achieve optimal level of cardiovascular status within 60 days.
Pt will achieve a stable blood pressure as evidenced by vital signs within normal limits within 60 days.
Pt will be able be able to list 2 of 4 uses of cardiac medications within 60 days.
Pt will be able to list 2 of 4 S/E of cardiac meds within 60 days.
Pt will have adequate working knowledge of  pharmacological & non-pharmacological management of MI, O2 use & safety, home safety measures, prescribed diet,  and energy conservation within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged.
"
Osteoarthrosis,"SN to assess pain every visit. Sn to assess all body systems. VS parameters to report to MD, BP > 160/90 or <90/60, HR >100 or <60, Resp > 24 or <12, Temp > 100.5 or <96. Sn to assess joints for stiffness, tenderness, mobility, pain, and ROM. Sn to assess cardiovascular and respiratory status for heart sounds, dyspnea, edema, lung sounds and peripheral circulation and instruct on areas of knowledge deficits. Sn to instruct on disease process of Osteoarthrosis to include pathophysiology, s/sx, treatment and exacerbation. Instruct on pharmacological and non-pharmacological pain management, good positioning and body alignment. Sn to assess knowledge of medication regimen and deficit, teach pt/cg pain medications to include purpose, action , S/E and safety measures and instruct on new or changed medications. SN to report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Osteoarthrosis Goals,"SN to assess pain every visit. Sn to assess all body systems. VS parameters to report to MD, BP > 160/90 or <90/60, HR >100 or <60, Resp > 24 or <12, Temp > 100.5 or <96. Sn to assess joints for stiffness, tenderness, mobility, pain, and ROM. Sn to assess cardiovascular and respiratory status for heart sounds, dyspnea, edema, lung sounds and peripheral circulation and instruct on areas of knowledge deficits. Sn to instruct on disease process of Osteoarthrosis to include pathophysiology, s/sx, treatment and exacerbation. Instruct on pharmacological and non-pharmacological pain management, good positioning and body alignment. Sn to assess knowledge of medication regimen and deficit, teach pt/cg pain medications to include purpose, action , S/E and safety measures and instruct on new or changed medications. SN to report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
OSTEOATHRITIS,"SN TO ASSESS EVERY VISIT.SN TO ASSESS JOINTS FOR STIFFNESS,TENDERNESS, MOBILITY,AND ROM. SN TO ASSESS ALL BODY SYSTEMS.SN TO INSTRUCT ON DISEASE PROCESS OF OSTEOARTHRITIS TO INCLUDE PATHO,S/SX,TX, AND EXACERBATION.SN TO INSTRUCT ON PHARMACOLOGICAL AND NON-PHARMACOLGICAL PAIN MANAGEMENT, GOOD POSITIONING, AND BODY ALIGNMENT. SN TO TO TEACH  PAIN MEDICATION TO INCLUDE PURPOSE, ACTION,SE AND SAFETY MEASURES. INSTRUCT ON ENERGY CONSERVATION,INCONTINENT CARE, AND HOME SAFETY MEASURES."
Osteoporosis,"SN to assess pain every visit. Sn to assess all body systems. VS parameters to report to MD, BP > 160/90 or <90/60, HR >100 or <60, Resp > 24 or <12, Temp > 100.5 or <96. Sn to assess joints for stiffness, tenderness, mobility, pain, and ROM. Sn to assess cardiovascular and respiratory status for heart sounds, dyspnea, edema, lung sounds and peripheral circulation and instruct on areas of knowledge deficits. Sn to instruct on disease process of Osteoporosis to include pathophysiology, s/sx, treatment and exacerbation. Instruct on pharmacological and non-pharmacological pain management, good positioning and body alignment. Sn to assess knowledge of medication regimen and deficit, teach pt/cg pain medications to include purpose, action , S/E and safety measures and instruct on new or changed medications. SN to report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Osteoporosis Goals,"Pt will remain functionally independent within limitations of pain within 60days.
Pt will have adequate working knowledge of disease process, patho, s/sx, TX and exacerbation within 60 days.
Pt will be able to list 3 of  5  non-pharmacological ways of managing pain within 60 days. 
Pt will be able to list 2 of 3 S/E of pain medication within 60 days. 
Pt will be able to list 1 of 2 uses of pain medication within 60 days.
Rehab Potential: Good for goals stated above 
DC Plan: When goals are met or alternative care has been arranged.
"
OT Eval and Treat,"OT to evaluate and establish home exercise program.  Assess pain and treat muscle re-education, perceptual motor training, cognitive training, fine motor coordination, and energy conservation techniques."
PAIN GOALS,"Pt will remain functionally independent within limitatiom of pain within 60 days. Pt  will have adequate working knowledge of disease process, patho,s/sx,Tx, and exacerbation within 60 days. Pt will be able to list 3 of 5 non- pharmacological ways of managing pain within 60 days. Pt will be able to list 2 of 3 SE of pain medication within 60 days. Pt will be able to list 1 of 2 uses of pain medication within 60 days.

REHAB GOALS: Good for goals stated above.
D/C PLANS:When goals are met."
Parkinson's Disease,"Assess nutritional / hydrational status.SN to observe and assess all body systems.V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96. SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina. SN to assess respiratory status for dyspnea, lung sounds, cough/sputum. SN to assess pain every visit. SN to assess skin for skin breakdown and skin care. SN to teach disease process of Parkinson’s disease, to include pathophysiology, S/Sx, treatment and exacerbation. SN to assess knowledge of medication regimen and deficits and teach pt/cg use medications for disease process to include, purpose, action S/E and safety measures.  SN to instruct on areas where knowledge deficit noted. SN to teach Parkinson’s disease management.  SN to teach energy conservation and home safety measures. SN to assess pain every visit, instruct on pharmacological and non-pharmacological pain management.  Report pain level >5 to MD.  Instruct on energy conservation, incontinent care and home safety measures."
Parkinson's Disease Goals,"Neurological symptoms will subside without further complications and status will return to WNL for this patient within 60days.
Pt will remain functionally independent within limitations of pain for 60 days.
Pt V/S and weight will be within normal limits as established by MD within 60 days.
Pt/Cg will have adequate working knowledge of disease process, patho, S/Sx, TX, and exacerbation within 60 days.
Pt/Cg will have adequate working knowledge of Parkinson's management, home safety measures and energy conservation within 60 days.
Pt/Cg will be able to list 2 of 4  uses of medication within 60 days.
Pt/Cg will be able to list 1of 3 S/E of medication within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
PT Eval & Treat,"PT to assess, evaluate and establish plan of care.  Assess for gait training, pain, strengthening exercise, balance/ coordination, transfer training & kegel exercise for incontinence  management , and to establish a home exercise program."
PVD,"SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina. SN to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96. SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to teach disease process of PVD, to include pathophysiology, S/Sx, treatment and exacerbation.  SN to assess knowledge of medication regimen and deficits and teach pt/cg CARDIAC medications, to Include safety measures, purpose, action and S/E. Sn to teach new or changed medications if any. SN to teach  2gm Na Diet, Low Fat Diet, and Low Cholesterol Diet. SN to teach O2 (Oxygen) use & safety measures. SN to assess pain every visit, Instruct on Pharmacological and Non-pharmacological pain management report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures. Instruct pt/cg to weigh pt and report weight gain or loss of 5lbs in 7 days."
PVD Goals,"Pt will achieve optimal level of cardiovascular status within 60 days.
Pt will achieve a stable blood pressure as evidenced by vital signs within normal limits within 60 days.
Pt will be able be able to list 2 of 4 uses of cardiac medications within 60 days.
Pt will be able to list 2 of 4 S/E of cardiac meds within 60 days.
Pt will have adequate working knowledge of  pharmacological & non-pharmacological management of PVD, O2 use & safety, home safety measures, Prescribed diet,  and energy conservation within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged.
"
Rheumatoid Arthritis ,"SN to assess pain every visit. Sn to assess all body systems. VS parameters to report to MD, BP > 160/90 or <90/60, HR >100 or <60, Resp > 24 or <12, Temp > 100.5 or <96. Sn to assess joints for stiffness, tenderness, mobility, pain, and ROM. Sn to assess cardiovascular and respiratory status for heart sounds, dyspnea, edema, lung sounds and peripheral circulation and instruct on areas of knowledge deficits. Sn to instruct on disease process of Rheumatoid Arthritis, to include pathophysiology, s/sx, treatment and exacerbation. Instruct on pharmacological and non-pharmacological pain management, good positioning and body alignment. Sn to assess knowledge of medication regimen and deficit, teach pt/cg pain medications to include purpose, action, S/E and safety measures and instruct on new or changed medications. SN to report pain level >5 to MD. Instruct on energy conservation, incontinent care and home safety measures."
Rheumatoid Arthritis Goals ,"Pt will remain functionally independent within limitations of pain within 60days.
Pt will have adequate working knowledge of disease process, patho, s/sx, TX and exacerbation within 60 days.
Pt will be able to list 3 of  5  non-pharmacological ways of managing pain within 60 days. 
Pt will be able to list 2 of 3 S/E of pain medication within 60 days. 
Pt will be able to list 1 of 2 uses of pain medication within 60 days.
Rehab Potential: Good for goals stated above 
DC Plan: When goals are met or alternative care has been arranged.
"
Seizures,"Assess nutritional / hydrational status. SN to observe and assess all body systems. V/S parameter to report to MD, BP>160/90 or <90/60, HR >100 or <60, Resp >24  or <12, Temp >100.5 or <96. SN to assess cardiovascular status for heart sounds, edema, peripheral circulation, angina.  SN to assess respiratory status for dyspnea, lung sounds, cough/sputum.  SN to assess pain every visit.  SN to assess skin for skin breakdown and skin care.  SN to teach disease process of Seizures to include pathophysiology, S/Sx, treatment and exacerbation. SN to assess knowledge of medication regimen and deficits and teach pt/cg use medications for disease process to include, purpose, action S/E and safety measures.  SN to instruct on areas where knowledge deficit noted. SN to teach Seizures management. SN to teach energy conservation and home safety measures. SN to assess pain every visit, instruct on pharmacological and non-pharmacological pain management. Report pain level >5 to MD.  Instruct on energy conservation, incontinent care and home safety measures."
Seizures Goals,"Neurological symptoms will subside without further complications and status will return to WNL for this patient within 60days.
Pt will remain functionally independent within limitations of pain for 60 days.
Pt V/S and weight will be within normal limits as established by MD within 60 days.
Pt/Cg will have adequate working knowledge of disease process, patho, S/Sx, TX, and exacerbation within 60 days.
Pt/Cg will have adequate working knowledge of Seizure management, home safety measures and energy conservation within 60 days.
Pt/Cg will be able to list 2 of 4  uses of medication within 60 days.
Pt/Cg will be able to list 1of 3 S/E of medication within 60 days.
Rehab Potential: Good for goals stated above.
DC plans: Patient will be discharged when goals are met or alternative care has been arranged."
TEACHING DIASEASE (Celiac Disease).,"DEFINE CELIAC DISEASE AND RISK FACTORS:
It is a disease that makes the body no able to tolerate a protein called gluten. Gluten is found in wheat, rye, and barley. Gluten can also be found in the products we use, such as stamps, envelopes, some medicines, and some vitamins. This disease creates damage to  the small intestines and interferes with absorption of nutrients from food when gluten is ingested or touches. Is is considered a digestion disease and an autoimmune disorder. Celiac disease is a genetic disease. It can be triggered or activated for the first time after: -Surgery -Pregnancy. -Childbirth. -Viral infection. -Severe emotional stress.

SYMPTOMS OF CELIAC DISEASE:
Celiac disease may exist without symptoms. There is still a risk for complications, such as malnutrition. It affects people differently. Symptoms may include one or more of the following; -Recurring gas, abdominal bloating, and pain. Chronic diarrhea. Pale, foul-smelling, or fatty stool. -Weight loos or gain. - Fatigue. -Anemia -Bone or joint pain, osteoporosis. -Behavioral changes (irritability is most common in children). Tingling or numbness in legs. -Muscle cramps. -Seizures. -Missed menstrual periods, infertility, and recurrent miscarriage. -Delayed growth (failure to thrive in infants). -Mouth ulcers and tooth discoloration. -Itchy skin rash.

MEASURES TO MANAGE CELIAC DISEASE:
The only treatment for celiac disease is to follow a gluten-free diet. It is a lifetime requirement: -Avoid wheat, rye, or barley products. -Use corn, rice, soy, arrowroot, tapioca, or potato flours in recipes.-Buy plain, frozen, or canned vegetables and season with herbs or spices. -When eating out, select meat, poultry, or fish made without breading, gravies, or sauces. -Store all gluten-free products in the refrigerator or freezer because they do not contain preservative. -Read labels carefully. Buy ""gluten-free"" products. Contact a food manufacturer for product information if in doubt. Family members of a person with celiac disease may want to be tested. Seek others with celiac disease for information and support. 

POSSIBLE COMPLICATIONS:
Malnutrition and anemia. Lymphoma and adenocarcinoma. Osteoporosis. Miscarriage or congenital malformation. Short stature. Increased risk for other autoimmune disease.
"
TEACHING GUIDE (Alzheimer's Disease),"PATHOPHYSIOLOGY:
Alzheimer's disease is the most common cause of dementia. Dementia es the loss of intellectual and social abilities severe enough to interfere with activities of daily living. Healthy brain tissue degenerates and causes a steady decline in memory and mental abilities.The course of the disease varies, but 8 years is the average length of time from diagnosis to death. Alzheimer's disease takes the mental ability to make decisions as the disease progresses.

RISK FACTORS:
Alzheimer's disease usually affects people older than 65 years. The risk is higher if a first-degree relative has the disease. Women are more likely than men to develop Alzheimer's disease (partially because they longer). Lifestyle choices such as poorly controlled diabetes, obesity, and inactivity can increase the risks. Currently, there is no evidence that any particular substance is toxic or increases the risk for Alzheimer's disease.
 
S/SX :
Increasing and persistent  forgetfulness, eventually forgetting the names of family members and everyday objects. Difficulty with abstract thinking such as writing checks or even recognizing numbers. Difficulty finding the right word, meaning the inability to express thoughts to read and write es eventually lost. Loss of sense of time, dates, and surroundings. Loss of judgment and ability to plan and make decisions. Loss of ability to perform familiar tasks such as cooking, dressing, and so forth. Personality changes such as mood swings, distrust in others, increased stubbornness and frustration, withdrawal from social situations, depression, restlessness, anxiety, aggressive or inappropriate behavior.

MEASURES TO PREVENT:
Measures to aid in general communication
1. Use good eyes contact, and let them know that you are listening.
2. Allow time for person to think and speak
3. Avoid criticizing, correcting, and arguing
4. If you do not understand speech, ask them to point or gesture.
5. Use short, simple words and sentence
Measures to decrease confusion, agitation, or aggression
1. Identify the immediate cause that could have triggered behavior.
2. Limit distraction
3. Create calm environment
4. Avoid noise, glare, distractions, visitors, and so forth.
5. Simplify task and routines.
Measures to manage confusion.
1. Stay calm.
2. Show photos or reminders of important relationship or places.
3. Do not make corrections, but suggest the correct answer.

People with advanced Alzheimer's disease lose the ability to care for themselves and are prone to additional health problems, such as
1. Pneumonia resulting from difficulty swallowing and possible aspiration.
2. Infection mainly caused by urinary incontinence and infections.
3. Falls resulting in fractures or head injuries.
4. Prolonged immobility, which increases the risk of blood clots."
TEACHING GUIDE (Emphysema),"PATHOPHYSIOLOGY:
Emphysema es caused by recurrent inflammations that result in destruction of lung tissue. Destruction and loss of elasticity of alveoli result in decreased air exchange. Emphysema es a chronic disease and damage cannot be reversed.

RISK FACTORS:
Positive family history. Recurrent respiratory infections. Continual exposure to harmful irritants: -Occupational hazards. -Air pollution. Cigarette smoking. Allergies. Most people with COPD are at least 40 year old around middle age. Impaired immune system.

S/SX OF EMPHYSEMA:
The severity of the symptoms depend on how much of the lung has been destroyed. Destruction will continue faster if smoking is continued. Symptoms: -Cough. -Sputum (mucus) production Shortness of breath, especially with exercise. - Wheezing. Chest tightness. Barrel chest (emphysema). - Loss of appetite and weight loss.

MEASURES TO PREVENT EMPHYSEMA:
Stop smoking. Avoid fatigue (energy conservation teaching guide). Eat healthy foods such as lots of fruits and vegetables. Eat protein foods such as meat, fish, eggs, milk, and soy. Eat smaller, more frequent meals. Take medications as ordered and make sure you refill them so you do not run out.  Avoid irritants and keep home clean. - avoid newly painted areas or ofter spraying for insects. -Avoid wood or kerosene heaters. -Keep windows closed and stay home when pollen count is high or air pollution is high. Avoid smoking because it destroys ciliary action and increases secretions. Treat all respiratory infections promptly.Receive flue shots and pneumonia immunization. Consult with pulmonary rehabilitation program, which pulmonary rehabilitation program, which provides, exercise training, disease-management training, counseling, help with adjusting activities of daily living to disease, specific instruction with dietician, occupational therapist, respiratory therapist. Oxygen therapy as needed or continuously. Oxygen may help. Do activities with less shortness of breath. Protect heart and other organs from damage. Sleep more during the night. Improve alertness during the day. Avoid excessive heat, which increases oxygen requirements and avoid excessive cold, which increases possibility of bronchospasm. Use humidifier during winter months. Perform measures to maintain patent airways. Drink 105 to 2 quarts if fluids daily to thin secretions. Use a humidifier to moisten air. Wear a Medic Alert bracelet. Get emergency help if you have the following symptoms:
 - Heart is beating very fast and irregularly.
 - Lips or fingernails alert.
 - You are not mentally alert.
 - You are having difficulty talking or walking.

POSSIBLE COMPLICATIONS:
Grater risk if respiratory infections and complications. Peptic ulcer disease. Right-side heart failure. Need of oxygen therapy for hypoxia (lack of oxygen). Need of lung surgery or transplant. Acute respiratory failure."
TEACHING GUIDE( CHF),"PATHOPHYSIOLOGY
CHF IS A CHRONIC, PROGRESSIVE SYNDROME CHARACTERIZED BY THE INABILITY OF THE HEART TO ACT AS A PUMP. THE HEART IS UNABLE TO PUMP AN ADEQUATE SUPPLY OF BLOOD TO MEET THE OXYGEN AND NUTRITIONAL NEEDS OF THE BODY.

RISK FACTORS-----
MYOCARDIAL INFARCTION, 
CORONARY ARTERY DISEASE, 
HYPERTENSION, 
CONGENITAL HEART DEFECTS, 
ANEMIA, 
OBESITY.

S/SX OF CHF----------
(A) LEFT- SIDED FAILURE( fatigue,sob,restlessness,excessive urination at night,wheezing,elevated bp). 
(B) RIGHT-SIDED FAILURE( dry cough, swelling in feet and ankles,abdominal swelling,abdominal pain, loss of appetite, unexplained rapid weight gain, nausea and vomiting.

MEASURES TO PREVENT CHF-------
AVOID STRESS, AVOID FATIGUE, 
EAT A  LOW  SODIUM DIET, 
RESTICT FLUID IF ORDERED BY PHYSICIAN, 
TAKE MEDICATION EXACTLY AS PRESCRIBED. 
AVOID TOBACCO AND ALCOHOL, 
WEIGH DAILY TO DETECT FLUID RETENTION, 
TAKE PULSE RATE DAILY,
ELEVATE LEGS TO DECREASE SWELLING,
DRESS WARMLY IN COLD WEATHER. 
KEEP FOLLOW-UP APPOINTMENT WITH MD. 
REPORT THE FOLLOWING SYSTOMS TO MD:( weight gain of two to three pounds in a day or five pounds in a week, loss of appetite, increase sob, swelling in feet and ankles,persistent cough, frequent urination at night,pulse rate greater than 100 or less than 60).

POSSIBLE COMPLICATIONS------
(A) ACUTE PULMONARY EDEMA,
(B) DAMAGE TO ORGANS SUCH AS LIVER,KIDNEY,OR BRAIN 
(C) PNEUMONIA."
TEACHING GUIDE(GOUT ARTHRITIS),"PATHOPHYSIOLOGY
IT IS A METABOLIC CONDITION IN WHICH THERE IS EXCESS URIC ACID IN THE BLOOD,CAUSING SODIUM URATECRYSTALS TO BE DEPOSITED IN OR NEAR THE JOINTS. THESE CRYSTALS FORM MASSES THAT CAUSE IRRITATION OR INFLAMMATION OF THE JOINT. GOUT MAY BE ACUTE OR CHRONIC.

FACTORS THAT MAY CAUSE EXACERBATION--------
PROLONGED FASTING, 
STRESS, 
ALCOHOL, 
ASPIRIN, 
THIAZIDE DIURETICS.

S/SX OF GOUT: 
INFLAMED PAINFUL JOINTS,
VOMITING, 
DIARRHEA, 
CONSTIPATION, 
HEADACHE, 
FEVER, CHILLS, MALAISE.

MEASURES TO PREVENT OR CONTROL GOUT------
(A) AVOID FOODS HIGH IN PURINE SUCH AS KIDNEY, LIVER, SHELLFISH, GLANDULAR MEATS, SARDINES, MUSHROOMS, PEAS,ETC. 
(B) AVOID STRESS,
(C) AVOID FASTING 
(D) DRINK8-12 GLASSES OF FLUID PER DAY, 
(E) AVOID ALCOHOL, 
(F)OBTAIN ADEQUATE REST DURING ACUTE STAGE,
(G) USE BED CRADLE TO KEEP PRESSURE OFF THE AFFECTED PART,
(H) ACHIEVE AND MAINTAIN IDEAL WEIGHT, 
(I) TAKE MEDICATIONS AS ORDERED,
(J) APPLY ICE TO INFLAMED JOINTS, 
(K) PERFORM ROM EXCERCISE AS INSTRUCTED, 
(L) KEEP FOLLOW-UP APPOINTMENTS WITH PHYSICIAN,
(M) NOTIFY PHYSICIAN OF NAUSEA, VOMITING, FLANK PAIN, FEVER,ETC.

COMPLICATIONS OF GOUT ARTHRITIS--------
(A) PERMANENT JOINT DISABILITY, 
(B) KIDNEY DAMAGE, 
(C)KIDNEY STONE, 
(D) INFECTION, 
(E) HYPERTENSION, 
(F) GOUTY ARTHRITIS."
TEACHING GUIDES ( Bronchitis),"PHATHOPHYSIOLOGY
Bronchitis is the inflammation of the bronchi caused by viral, bacterial or mycoplasmal infections. The inflammation and irritation stimulate the production of mucus. Bronchitis can be acute or chronic. It is considered chronic if a recurrent cough persists at least 3 months of the year for at least 2 successive years. Emphysema is a chronic disease and damage cannot be reversed.

RISK FACTORS:
Positive family history. Recurrent respiratory infections. Continual exposure to harmful irritants, occupational hazards, air pollution, cigarette smoking. Allergies. Most people with COPD are at least 40 years old or around middle age. Impaired immune system.

S/SX OF BRONCHITIS:
The severity of the symptoms depend on how much of the lung has been destroyed. Destruction will continue faster if smoking is continued. Symptoms, cough, sputum (mucus) production, shortness of breath, especially with exercise, wheezing, chest tightness, barrel chest (emphysema), Loss of appetite and weight loss.

MEASURES TO PREVENT BRONCHITIS:
Stop smoking. Avoid fatigue (energy conservation teaching guide). Eat healthy foods such as lots of fruits and vegetables. Eat protein foods such as meat, fish, eggs, milk, and soy. Eat smaller, more frequent meals. Take medications as ordered and make sure you refill them so you do not run out. Avoid  irritants and keep home clean. Avoid newly painted areas or after spraying for insects. Avoid wood or kerosene heaters. Keep windows closed and stay home when pollen count is high or air pollution is high. Avoid smoking because it destroys ciliary action and increases secretions. Treat all respiratory infections promptly. Receive flue shots and pneumonia immunization. Consult with pulmonary rehabilitation program, which pulmonary rehabilitation program, which provides, exercise training, disease-management training, counseling, help with adjusting activities of daily living to disease, specific instruction with dietician, occupational therapist, respiratory therapist. Oxygen therapy as needed or continuously. Oxygen may help. Do activities with less shortness of breath. Protect heart and other organs from damage. Sleep more during the night. Improve alertness during the day. Avoid excessive heat, which increases oxygen requirements and avoid excessive cold, which increases possibility of bronchospasm. Use humidifier during winter months. Perform measures to maintain patent airways. Drink 105 to 2 quarts if fluids daily to thin secretions. Use a humidifier to moisten air. Wear a Medic Alert bracelet. Get emergency help if you have the following symptoms:
 - Heart is beating very fast and irregularly.
 - Lips or fingernails alert.
 - You are not mentally alert.
 - You are having difficulty talking or walking.

POSSIBLE COMPLICATIONS:
Greater risk if respiratory infections and complications. Peptic ulcer disease. Right-sided heart failure. Need of oxygen therapy for hypoxia (lack of oxygen) Need of lung surgery or transplant. Acute respiratory failure.
"
TEACHING GUIDES ( Suprapubic Catheter Care),"PHATHOPHYSIOLOGY:
It is a tubing surgically inserted into the bladder directly through the lower abdomen. It is performed to divert the flow or urine from the urethra.

CARE OF INSERTION SITE OR STOMA:
With new stoma site, cleanse with Betadine solution, and apply sterile drain dressing (slit in one side of dressing) as ordered. Any crusting or exudates around stoma may be cleaned with cotton-tip applicator and hydrogen peroxide and carefully rinsed with water. A healed stoma may be cleansed with mild soap and water daily. A suprapubic  catheter may be taped to the abdomen if necessary. If the catheter accidentally drops out, cover with clean gauze, and secure with tape. Notify physician or nurse promptly.

CATHETER BAGS AND CATHETER TUBING:
Maintain good drainage by checking frequently for kinks or loops in the tubing. Secure catheter tubing to leg to prevent pulling or tension on catheter. Change anchoring sites by alternating sites daily. Use the inner thighs for women and the upper thighs for men. Keep drainage bag below level of the bladder at all times to prevent infection. Empty bag at least every 8 hours or when drainage bag is just over half full. If catheter and tubing are disconnected, wipe the end of both with antiseptic solution before reconnecting them.  Drainage bags may be reused after careful cleansing: -Rise inside of bag with soapy water and them rinse with clear water. Fill the bag with one part vinegar to four parts water and soak for 30 minutes. -Empty the bag, and let it air dry. -Store in clean, dust-free place.

HOW TO EMPTY A DRAINAGE BAG:
Free the drain tip from holder on drainage bag. loosen the clamp and drain urine. Let the urine drain into the toilet or measuring container while being careful not to let the tip touch anything. Reclamp the tube and clean tip before replacing in holder.

HOW AND WHEN TO USE A LEG DRAINAGE BAG:
Leg collection bags are usually used during the day. They usually only hold about 500 ml of urine. The leg bag is attached to the leg with straps. Use cloth or Velcro straps to avoid possible irritation from rubber straps. A drainage valve or cap is secured at the bottom opening of the bag. Use the same precautions when changing or draining the leg bag as when using the large drainage bag.

MEASURES TO PREVENT:
Monitor and record urine output for amount and color of urine. Stress increased intake of clear fluids (10 to 15 glasses per day). Unless prohibited by physician, try drinking cranberry, plum, and prune juices along with water, as they help increase the acidity and prevent infection. Keep intake of caffeine and alcohol to limited amount. Showering and bathing may be done as ordered by physician. Review signs, symptoms, or problems to report promptly, such as: -A lack of urine output longer then 4 hours. -Persistent leakage  around catheter. -Pain swelling, or tenderness around catheter. -A break in the catheter or if the catheter falls out. -Fever or chills. A latex-free catheter may be needed if client has latex allergy.

POSSIBLE COMPLICATIONS:
Urinary-tract infection: cloudy urine, foul odor, fever, and pain in bladder area. Blocked catheter: lack of urine draining into catheter and firm,distended abdomen."
TEACHING GUIDES (Acute Rental Failure),"BASIC UNDERSTANDING OF THE ANATOMY AND PHYSIOLOGY OF THE RENAL SYSTEM:
The kidneys are two bean-shaped organs and are located on each side of the vertebral column at the 12th thoracic vertebrae at the posterior abdominal wall. Each kidney has ureter about 25 to 30 centimeters long that connects to the bladder. The function of the kidneys is to remove waste materials from blood, balance body fluids, and form urine.  

DEFINE ACUTE RENAL FAILURE:
Acute renal failure is the sudden inability of kidneys to remove metabolic wasted and concentrate urine without losing electrolytes. Renal cells  are damaged by decreased renal blood flow and a lack of oxygen and other nutrients to the cells. 

RISK FACTOR:
Low blood pressure caused by trauma, surgery, serious illness, septic shock, hemorrhagic shock, burns, or dehydration. Acute pyelonephritis or septicemia. Urinary tract obstruction. Blood transfusion reaction. Autoimmune kidney disease.   

S/SX:
Nausea and vomiting. Urinary system changes: -A decrease in the amount of urine. -No urination. -Excessive urination at night. Changes in mental status or mood: -Drowsiness or lethargy. -Agitation. -Delirium or confusion. -Coma. -Mood changes. -Trouble paying attention. -Hallucinations. Generalizes swelling and fluid retention. Flank pain between ribs and hips. Headache. Decreased sensation in hands and feet. Decreased appetite and metallic taste in mouth. Slow, sluggish movements, hand tremor, or seizures. Itchiness. Bruising and prolonged bleeding and prolonged bleeding (nosebleeds, blood in stool).

MEASURES TO MANAGE ACUTE RENAL FAILURE:
Follow prescribed diet closely: -High in carbohydrates. -Low in protein. -Low in sodium. -Low in potassium. Monitor fluid status closely: -Weigh daily using the same scale at the same time each day. -Measure intake and output. -Restrict fluids as instructed. Take medications as ordered (possible use of antibiotics and/or diuretic). Avoid infections, or get prompt treatment of infection. Follow activity as ordered with regular rest periods. Provide skin care and oral hygiene: -Keep fingernails short and avoid scratching. -Use lotions to moisturize skin and decrease itchiness. -Use a soft-bristled tooth brush and mouthwash. Keep follow-up appointments with physician and laboratory tests.  Use Medic Alert car and bracelet.

POSSIBLE COMPLICATIONS:
Fluid and electrolyte imbalance. Chronic renal disease. Anemia (loss of blood in the intestines).  End-stage renal disease. Damage to heart or nervous system. Hypertension. Need for dialysis."
